Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
4973,NP1,,,
4973,NP2,,,
4973,NP3,,,
4973,NP4,,,
4973,NP5,0,13090,4
4973,NP6,,,
4973,NP7,,,
4973,NP8,0,13090,4
4973,NP9,,,
9168,NP10,,,
9168,NP11,,,
9168,NP12,0,10472,3
9168,NP13,,,
9168,NP14,,,
9168,NP15,,,
9168,NP16,,,
9168,NP17,,,
9168,NP18,,,
9168,NP19,,,
10760,NP20,0,13090,4
10760,NP21,,,
10760,NP22,0,13090,4
10760,NP23,0,13090,4
10760,NP24,0,13090,4
10760,NP25,,,
10760,NP26,,,
10760,NP27,0,13090,4
10760,NP28,,,
10760,NP29,0,13090,4
10760,NP30,0,13090,4
10760,NP31,0,13090,4
15792,NP32,0,18326,6
15792,NP33,0,18326,6
15792,NP34,,,
15792,NP35,,,
15792,NP36,,,
15792,NP37,,,
15792,NP38,,,
15792,NP39,,,
15792,NP40,0,18326,6
15792,NP41,0,18326,6
15792,NP42,,,
15792,NP43,0,18326,6
21596,NP44,0,23562,8
21596,NP45,0,23562,8
21596,NP46,,,
21596,NP47,,,
21596,NP48,,,
21596,NP49,0,23562,8
21596,NP50,0,23562,8
21596,NP51,,,
21596,NP52,0,26180,9
21596,NP53,0,23562,8
21596,NP54,0,23562,8
30386,NP55,,,
30386,NP56,,,
30386,NP57,0,31416,11
30386,NP58,0,31416,11
30386,NP59,0,31416,11
30386,NP60,,,
30386,NP61,0,31416,11
30386,NP62,0,31416,11
30386,NP63,0,31416,11
30386,NP64,0,31416,11
30386,NP65,0,31416,11
30386,NP66,0,31416,11
43187,NP67,0,44506,16
43187,NP68,0,44506,16
43187,NP69,0,44506,16
43187,NP70,,,
43187,NP71,0,44506,16
43187,NP72,,,
43187,NP73,0,44506,16
43187,NP74,,,
43187,NP75,0,44506,16
43187,NP76,,,
43187,NP77,,,
56599,NP78,0,57596,21
56599,NP79,1,57596,21
56599,NP80,0,57596,21
56599,NP81,,,
56599,NP82,1,68068,25
56599,NP83,0,57596,21
56599,NP84,1,57596,21
56599,NP85,1,57596,21
56599,NP86,0,57596,21
56599,NP87,,,
56599,NP88,0,57596,21
56599,NP89,0,57596,21
56599,NP90,0,57596,21
56599,NP91,0,57596,21
56599,NP92,,,
66194,NP93,0,68068,25
66194,NP94,1,68068,25
66194,NP95,1,70686,26
66194,NP96,1,78540,29
66194,NP97,,,
66194,NP98,0,68068,25
66194,NP99,1,68068,25
66194,NP100,1,68068,25
66194,NP101,,,
66194,NP102,1,73304,27
66194,NP103,1,68068,25
66194,NP104,,,
66194,NP105,0,68068,25
66194,NP106,0,68068,25
88788,NP107,0,89012,33
88788,NP108,1,89012,33
88788,NP109,1,89012,33
88788,NP110,,,
88788,NP111,0,89012,33
88788,NP112,,,
88788,NP113,,,
88788,NP114,1,89012,33
88788,NP115,1,89012,33
88788,NP116,1,112574,42
88788,NP117,,,
120357,NP118,1,120428,45
120357,NP119,1,128282,48
120357,NP120,,,
120357,NP121,,,
120357,NP122,0,120428,45
120357,NP123,1,120428,45
120357,NP124,,,
120357,NP125,0,120428,45
120357,NP126,,,
120357,NP127,0,120428,45
120357,NP128,1,120428,45
120357,NP129,,,
120357,NP130,,,
120357,NP131,,,
